Release 8.1i - Fit J.36
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10- 5-2021  4:19PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  mohit.ngd
output file: mohit_pad.csv
Part type:   xa9536xl
Speed grade: -15
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,TIE,,I/O,,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,TIE,,I/O,,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,S0,I,I/O,INPUT,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,S3,I,I/O,INPUT,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,I2,I,I/O,INPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,I15,I,I/O,INPUT,,,,,,,,,
P21,I11,I,I/O,INPUT,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,I7,I,I/O,INPUT,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,I0,I,I/O,INPUT,,,,,,,,,
P29,I3,I,I/O,INPUT,,,,,,,,,
P30,I14,I,I/O,INPUT,,,,,,,,,
P31,I6,I,I/O,INPUT,,,,,,,,,
P32,I1,I,I/O,INPUT,,,,,,,,,
P33,I10,I,I/O/GSR,INPUT,,,,,,,,,
P34,S2,I,I/O/GTS2,INPUT,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,I9,I,I/O/GTS1,INPUT,,,,,,,,,
P37,I4,I,I/O,INPUT,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,I12,I,I/O,INPUT,,,,,,,,,
P40,I13,I,I/O,INPUT,,,,,,,,,
P41,I5,I,I/O,INPUT,,,,,,,,,
P42,Out,O,I/O,OUTPUT,,,,,,,,,
P43,I8,I,I/O/GCK1,INPUT,,,,,,,,,
P44,S1,I,I/O/GCK2,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


