Release 8.1i - Fit J.36
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10-30-2021  1:23PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  DeCoder_2_4.ngd
output file: DeCoder_2_4_pad.csv
Part type:   xa2c32a
Speed grade: -6
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,KPR,,I/O/GCK2,,,1,,,,,,,
P2,KPR,,I/O,,,1,,,,,,,
P3,KPR,,I/O,,,1,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,KPR,,I/O,,,1,,,,,,,
P6,KPR,,I/O,,,1,,,,,,,
P7,,VCCIO-UNUSED,VCCIO,,,1,,,,,,,
P8,KPR,,I/O,,,1,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,KPR,,I/O,,,1,,,,,,,
P13,KPR,,I/O,,,1,,,,,,,
P14,KPR,,I/O,,,1,,,,,,,
P15,,VCC,VCC,,,,,,,,,,
P16,KPR,,I/O,,,1,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,KPR,,I,,,2,,,,,,,
P19,KPR,,I/O,,,2,,,,,,,
P20,KPR,,I/O,,,2,,,,,,,
P21,KPR,,I/O,,,2,,,,,,,
P22,KPR,,I/O,,,2,,,,,,,
P23,KPR,,I/O,,,2,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P27,KPR,,I/O,,,2,,,,,,,
P28,KPR,,I/O,,,2,,,,,,,
P29,KPR,,I/O,,,2,,,,,,,
P30,KPR,,I/O/GSR,,,2,,,,,,,
P31,KPR,,I/O/GTS2,,,2,,,,,,,
P32,I<1>,I,I/O/GTS3,INPUT,LVCMOS18,2,,FAST,,,,
P33,I<0>,I,I/O/GTS0,INPUT,LVCMOS18,2,,FAST,,,,
P34,Y<3>,O,I/O/GTS1,OUTPUT,LVCMOS18,2,,FAST,,,,
P35,,VCCAUX,VAUX,,,,,,,,,,
P36,Y<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P37,Y<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P38,Y<0>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P39,KPR,,I/O,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O/GCK0,,,1,,,,,,,
P44,KPR,,I/O/GCK1,,,1,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


